IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_10000_N
45CA7C8,Density of pharmacists,COUNTRY,392,Japan,YEAR,1992,7.69
45CA7C8,Density of pharmacists,COUNTRY,392,Japan,YEAR,2010,15.42
45CA7C8,Density of pharmacists,COUNTRY,392,Japan,YEAR,2016,18.1
45CA7C8,Density of pharmacists,COUNTRY,392,Japan,YEAR,1990,7.3
45CA7C8,Density of pharmacists,COUNTRY,392,Japan,YEAR,2002,12.11
45CA7C8,Density of pharmacists,COUNTRY,392,Japan,YEAR,2020,19.84
45CA7C8,Density of pharmacists,COUNTRY,392,Japan,YEAR,2000,11.25
45CA7C8,Density of pharmacists,COUNTRY,392,Japan,YEAR,2008,14.52
45CA7C8,Density of pharmacists,COUNTRY,392,Japan,YEAR,2014,16.95
45CA7C8,Density of pharmacists,COUNTRY,392,Japan,YEAR,1998,10.29
45CA7C8,Density of pharmacists,COUNTRY,392,Japan,YEAR,2006,13.61
45CA7C8,Density of pharmacists,COUNTRY,392,Japan,YEAR,2012,16.08
45CA7C8,Density of pharmacists,COUNTRY,392,Japan,YEAR,2018,18.94
45CA7C8,Density of pharmacists,COUNTRY,392,Japan,YEAR,1996,9.44
45CA7C8,Density of pharmacists,COUNTRY,392,Japan,YEAR,1994,8.49
45CA7C8,Density of pharmacists,COUNTRY,392,Japan,YEAR,2004,12.86
45CA7C8,Density of pharmacists,COUNTRY,392,Japan,YEAR,2022,20.26
