IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_10000_N
5C8435F,Density of nurses and midwives,COUNTRY,392,Japan,YEAR,2004,89.61
5C8435F,Density of nurses and midwives,COUNTRY,392,Japan,YEAR,2002,86
5C8435F,Density of nurses and midwives,COUNTRY,392,Japan,YEAR,2010,103.03
5C8435F,Density of nurses and midwives,COUNTRY,392,Japan,YEAR,2014,111.8
5C8435F,Density of nurses and midwives,COUNTRY,392,Japan,YEAR,2008,97.69
5C8435F,Density of nurses and midwives,COUNTRY,392,Japan,YEAR,2018,119.75
5C8435F,Density of nurses and midwives,COUNTRY,392,Japan,YEAR,2022,129.78
5C8435F,Density of nurses and midwives,COUNTRY,392,Japan,YEAR,2012,107.31
5C8435F,Density of nurses and midwives,COUNTRY,392,Japan,YEAR,2006,93.13
5C8435F,Density of nurses and midwives,COUNTRY,392,Japan,YEAR,2016,115.72
5C8435F,Density of nurses and midwives,COUNTRY,392,Japan,YEAR,2020,123.49
