IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_100000_N,RATE_PER_100000_NL,RATE_PER_100000_NU
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,1993,11.76071695,10.2963808,13.56649733
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,1986,17.79251507,14.6325057,21.98049618
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,1989,14.93075722,12.75325693,17.49853653
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,1985,18.6544121,15.08392681,23.70528535
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,1992,12.54876394,10.96051774,14.45866427
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,1988,15.96224167,13.4793468,18.91028033
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,1995,11.40413441,10.01548547,13.0591457
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,1991,13.15742184,11.43791345,15.18484928
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,1987,16.53883797,13.81647581,19.95138181
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,1994,11.13567656,9.777399935,12.787331
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,1990,14.07810045,12.12852194,16.31287667
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,2000,8.8145306,7.887567337,9.838437724
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,2007,6.479591028,5.816786291,7.12318615
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,2014,5.247706745,4.468821702,6.076215179
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,2021,4.10803812,3.136921886,5.265409809
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,2003,7.571964896,6.917154122,8.325514184
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,2010,5.947377215,5.22246554,6.681335336
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,2017,4.761009386,3.932993932,5.756362244
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,1996,10.61819194,9.34687289,12.12450139
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,2020,4.285983729,3.366359062,5.402773775
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,1999,9.34217891,8.330259847,10.50531798
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,2006,6.814175535,6.182242443,7.420442772
AC597B1,Maternal mortality ratio,COUNTRY,392,Japan,YEAR,2013,5.366852842,4.620081079,6.160548843
