IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_100000_N,RATE_PER_100000_NL,RATE_PER_100000_NU
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2002,30,25,34
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2005,24,21,28
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2001,32,27,37
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2004,27,23,31
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2000,36,31,41
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2003,28,24,33
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2009,21,18,24
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2016,16,14,18
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2012,19,16,22
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2019,13,11,15
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2015,17,14,19
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2022,9.4,8.1,11
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2008,22,19,25
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2018,14,12,16
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2011,20,17,23
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2021,11,9,12
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2007,22,19,26
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2014,18,15,20
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2017,15,13,18
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2010,20,17,24
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2020,12,9.9,13
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2006,23,19,26
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2013,18,16,21
C288D13,Tuberculosis cases,COUNTRY,392,Japan,YEAR,2023,9.3,8,11
