Region Code: AS
"Region Name: Asia"
Country Code: JPN
"Country Name: Japan"
Export date: 10/12/2025 10:20:56 PM
Source location: "WHO Mortality Database portal"
Metadata information: 

Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CG0000,All Causes,2010,All,Age_all,[All],1197012.00000000,100.00000000,331.04195391,947.14008025,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2010,All,Age_all,[All],149940.00000000,12.52619021,34.65927565,118.64056804,
CG0020,Infectious and parasitic diseases,2010,All,Age_all,[All],26569.00000000,2.21961016,7.37150155,21.02281748,
CG0030,Tuberculosis,2010,All,Age_all,[All],3639.00000000,0.30400698,0.83925113,2.87937193,
CG0040,STDs excluding HIV,2010,All,Age_all,[All],125.00000000,0.01044267,0.03110696,0.09890670,
CG0050,Syphilis,2010,All,Age_all,[All],11.00000000,0.00091895,0.00532529,0.00870379,
CG0060,Chlamydia,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0070,Gonorrhoea,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0080,Other STDs,2010,All,Age_all,[All],114.00000000,0.00952371,0.02578168,0.09020291,
CG0090,HIV/AIDS,2010,All,Age_all,[All],61.00000000,0.00509602,0.03333154,0.04826647,
CG0100,Diarrhoeal diseases,2010,All,Age_all,[All],2306.00000000,0.19264636,0.61210080,1.82463085,
CG0110,Childhood-cluster diseases,2010,All,Age_all,[All],29.00000000,0.00242270,0.01007552,0.02294636,
CG0120,Pertussis,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0130,Poliomyelitis,2010,All,Age_all,[All],15.00000000,0.00125312,0.00513664,0.01186880,
CG0140,Diphtheria,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0150,Measles,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0160,Tetanus,2010,All,Age_all,[All],14.00000000,0.00116958,0.00493888,0.01107755,
CG0170,Meningitis,2010,All,Age_all,[All],342.00000000,0.02857114,0.13296743,0.27060874,
CG0180,Hepatitis B,2010,All,Age_all,[All],854.00000000,0.07134431,0.34276398,0.67573059,
CG0190,Hepatitis C,2010,All,Age_all,[All],4754.00000000,0.39715558,1.42802859,3.76161972,
CG0200,Malaria,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0210,Tropical-cluster diseases,2010,All,Age_all,[All],7.00000000,0.00058479,0.00136450,0.00553878,
CG0220,Trypanosomiasis,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0230,Chagas disease,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0240,Schistosomiasis,2010,All,Age_all,[All],7.00000000,0.00058479,0.00136450,0.00553878,
CG0250,Leishmaniasis,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0260,lymphatic filariasis,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0270,Onchocerciasis,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0280,Leprosy,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0290,Dengue,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0300,Japanese encephalitis,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0310,Trachoma,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0320,Intestinal nematode infections,2010,All,Age_all,[All],4.00000000,0.00033417,0.00081339,0.00316501,
CG0330,Ascariasis,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0340,Trichuriasis,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0350,Hookworm disease,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0360,Other intestinal infections,2010,All,Age_all,[All],4.00000000,0.00033417,0.00081339,0.00316501,
CG0370,Other infectious diseases,2010,All,Age_all,[All],14448.00000000,1.20700544,3.93969770,11.43203233,
CG0380,Respiratory infections,2010,All,Age_all,[All],119991.00000000,10.02421028,25.43882478,94.94331333,
CG0390,Lower respiratory infections,2010,All,Age_all,[All],119815.00000000,10.00950701,25.37763358,94.80405269,
CG0400,Upper respiratory infections,2010,All,Age_all,[All],164.00000000,0.01370078,0.05868850,0.12976559,
CG0410,Otitis media,2010,All,Age_all,[All],12.00000000,0.00100250,0.00250270,0.00949504,
CG0420,Maternal conditions,2010,All,Age_all,[All],49.00000000,0.00409353,0.04072500,0.03877143,
